email,Ass_id,module_id,Marks_Obtained,Total_Marks
johndoe.intern@gmail.com,660ae71b23b45ef933dc45e0,660a5b4bf19587736637bf06,70,100
johndoe.intern@gmail.com,660daf21461e96a39611efba,660a5b4bf19587736637bf06,90,100
alicesmith.intern@gmail.com,660acfe723b45ef933dc45c4,660a5b71f19587736637bf0a,90,100
alicesmith.intern@gmail.com,660ce3e7d28faec8fbf72d4e,660cdc5ad28faec8fbf72d48,78,100
davidjones.intern@gmail.com,660ce3e7d28faec8fbf72d4e,660cdc5ad28faec8fbf72d48,56,100
davidjones.intern@gmail.com,660ae71b23b45ef933dc45e0,660a5b4bf19587736637bf06,80,100
emilywilson.intern@gmail.com,660acfe723b45ef933dc45c4,660a5b71f19587736637bf0a,87,100
emilywilson.intern@gmail.com,660daf21461e96a39611efba,660a5b4bf19587736637bf06,96,100
michaelbrown.intern@gmail.com,660e3de19fbfe3dca8e159c1,660a5b4bf19587736637bf06,78,100
michaelbrown.intern@gmail.com,660acfe723b45ef933dc45c4,660a5b71f19587736637bf0a,65,100
lisajohnson.employee@gmail.com,660d15319058051f051b2b62,660a5ad8f19587736637bf04,98,100
lisajohnson.employee@gmail.com,660db10e461e96a39611efda,660a5ad8f19587736637bf04,78,100
robertjackson.employee@gmail.com,660dc212461e96a39611f03d,660a5ad8f19587736637bf04,56,100
robertjackson.employee@gmail.com,660db10e461e96a39611efda,660a5ad8f19587736637bf04,97,100
sarahmiller.employee@gmail.com,660db10e461e96a39611efda,660a5ad8f19587736637bf04,29,100
sarahmiller.employee@gmail.com,660e38819fbfe3dca8e159b4,660d13499058051f051b2b14,85,100
williamtaylor.employee@gmail.com,660e38819fbfe3dca8e159b4,660d13499058051f051b2b14,78,100
williamtaylor.employee@gmail.com,660e38819fbfe3dca8e159b4,660d13499058051f051b2b14,75,100
jessicawhite.employee@gmail.com,660dc212461e96a39611f03d,660a5ad8f19587736637bf04,69,100
jessicawhite.employee@gmail.com,660e38819fbfe3dca8e159b4,660d13499058051f051b2b14,83,100
